"","IDsin","codeplot","ADJ","TILE","X_sin","Y_sin","X_wgs","Ywgs","ID","alti","grad","NDVImin","NDVImax"
"1163",11498214,"NEV_2700","YES","h18v04",512771,5004820,6.52265,45.00937,"h18v04_11498214",2700,"NEV",0,0.18
"1164",9400703,"PAI_1700","YES","h18v04",533389,5106054,6.89538,45.91979,"h18v04_9400703",1700,"PAI",0.002,0.857
"1165",9391106,"PAI_1900","YES","h18v04",534084,5106517,6.90489,45.92396,"h18v04_9391106",1900,"PAI",0.001,0.767
"1166",9400707,"PAI_2040","YES","h18v04",534315,5106054,6.90736,45.91979,"h18v04_9400707",2040,"PAI",0,0.669
"1167",9405508,"PAI_2250","YES","h18v04",534547,5105822,6.9101,45.91771,"h18v04_9405508",2250,"PAI",0,0.433
"1168",9410309,"PAI_2450","YES","h18v04",534779,5105590,6.91283,45.91562,"h18v04_9410309",2450,"PAI",0,0.279
"1169",10038887,"PEC_0962","YES","h18v04",483351,5075243,6.21754,45.64271,"h18v04_10038887",962,"PEC",0.239,0.875
"1170",10043688,"PEC_1152","YES","h18v04",483583,5075012,6.22029,45.64062,"h18v04_10043688",1152,"PEC",0.258,0.878
"1171",10048489,"PEC_1375","YES","h18v04",483814,5074780,6.22304,45.63854,"h18v04_10048489",1375,"PEC",0.159,0.859
"1172",10058088,"PEC_1578","YES","h18v04",483583,5074317,6.2196,45.63437,"h18v04_10058088",1578,"PEC",0.076,0.829
"1173",11061139,"RAC_0330","YES","h18v04",449066,5025901,5.7313,45.19896,"h18v04_11061139",330,"RAC",0.458,0.799
"1174",11056338,"RAC_0525","YES","h18v04",448834,5026132,5.72855,45.20104,"h18v04_11056338",525,"RAC",0.466,0.814
"1175",11037138,"RAC_0730","YES","h18v04",448834,5027059,5.72939,45.20937,"h18v04_11037138",730,"RAC",0.488,0.873
"1176",11022740,"RAC_0950","YES","h18v04",449298,5027754,5.73593,45.21562,"h18v04_11022740",950,"RAC",0.416,0.828
"1177",11555664,"RBI_1070","YES","h18v04",478023,5002040,6.07799,44.98437,"h18v04_11555664",1070,"RBI",0.048,0.867
"1178",11570063,"RBI_1310","YES","h18v04",477791,5001345,6.07438,44.97812,"h18v04_11570063",1310,"RBI",0.01,0.791
"1179",11579663,"RBI_1500","YES","h18v04",477791,5000882,6.07394,44.97396,"h18v04_11579663",1500,"RBI",0,0.735
"1180",11603661,"RBI_1550","YES","h18v04",477328,4999723,6.06695,44.96354,"h18v04_11603661",1550,"RBI",0.002,0.772
"1181",11632460,"RBI_1750","YES","h18v04",477096,4998333,6.06268,44.95104,"h18v04_11632460",1750,"RBI",0,0.745
"1182",11646860,"RBI_1950","YES","h18v04",477096,4997638,6.06202,44.94479,"h18v04_11646860",1950,"RBI",0,0.601
"1183",11651659,"RBI_2150","YES","h18v04",476865,4997407,6.05886,44.94271,"h18v04_11651659",2150,"RBI",0,0.65
"1184",12107988,"RIS_1900","YES","h18v04",553080,4975399,7.00312,44.74479,"h18v04_12107988",1900,"RIS",0.002,0.841
"1185",12204004,"RIS_2195","YES","h18v04",556786,4970766,7.04497,44.70312,"h18v04_12204004",2195,"RIS",0,0.663
"1186",12189604,"RIS_2340","YES","h18v04",556786,4971461,7.04573,44.70937,"h18v04_12189604",2340,"RIS",0,0.529
"1188",12184810,"RIS_2770","YES","h18v04",558176,4971693,7.06357,44.71146,"h18v04_12184810",2770,"RIS",0,0.199
"1189",12180011,"RIS_2890","YES","h18v04",558408,4971925,7.06676,44.71354,"h18v04_12180011",2890,"RIS",0,0.165
"1190",10883550,"SAP_1250","YES","h18v04",451614,5034472,5.77164,45.27604,"h18v04_10883550",1250,"SAP",0.623,0.871
"1193",10869155,"SAP_1870","YES","h18v04",452772,5035167,5.78708,45.28229,"h18v04_10869155",1870,"SAP",0.06,0.722
"1194",10854756,"SAP_2060","YES","h18v04",453004,5035862,5.79068,45.28854,"h18v04_10854756",2060,"SAP",0.027,0.604
"1195",11094725,"SEYS_0280","YES","h18v04",445823,5024279,5.68845,45.18437,"h18v04_11094725",280,"SEYS",0.365,0.609
"1196",11109123,"SEYS_0460","YES","h18v04",445359,5023584,5.68191,45.17812,"h18v04_11109123",460,"SEYS",0.454,0.804
"1197",11123520,"SEYS_0615","YES","h18v04",444664,5022889,5.67242,45.17187,"h18v04_11123520",615,"SEYS",0.493,0.797
"1198",11152316,"SEYS_0840","YES","h18v04",443738,5021499,5.65936,45.15937,"h18v04_11152316",840,"SEYS",0.474,0.871
"1199",11166715,"SEYS_1035","YES","h18v04",443506,5020804,5.65579,45.15312,"h18v04_11166715",1035,"SEYS",0.468,0.901
"1200",11171512,"SEYS_1350","YES","h18v04",442811,5020572,5.64672,45.15104,"h18v04_11171512",1350,"SEYS",0.42,0.903
"1201",11181112,"SEYS_1500","YES","h18v04",442811,5020109,5.6463,45.14687,"h18v04_11181112",1500,"SEYS",0.175,0.809
"1204",10528628,"TAN_1420","YES","h18v04",516015,5051614,6.61267,45.43021,"h18v04_10528628",1420,"TAN",0.135,0.827
"1205",10552625,"TAN_1700","YES","h18v04",515320,5050456,6.60255,45.41979,"h18v04_10552625",1700,"TAN",0.125,0.814
"1206",10562227,"TAN_1890","YES","h18v04",515783,5049993,6.608,45.41562,"h18v04_10562227",1890,"TAN",0,0.753
"1207",10571828,"TAN_2100","YES","h18v04",516015,5049529,6.61048,45.41146,"h18v04_10571828",2100,"TAN",0,0.752
"1209",10595827,"TAN_2480","YES","h18v04",515783,5048371,6.60629,45.40104,"h18v04_10595827",2480,"TAN",0,0.582
"1210",13533803,"TEN_1430","YES","h18v04",602886,4906597,7.55336,44.12604,"h18v04_13533803",1430,"TEN",0.438,0.817
"1211",13538598,"TEN_1670","YES","h18v04",601727,4906366,7.53858,44.12396,"h18v04_13538598",1670,"TEN",0.302,0.781
"1212",13533794,"TEN_1890","YES","h18v04",600801,4906597,7.52724,44.12604,"h18v04_13533794",1890,"TEN",0.082,0.722
