"site","idsite","idplot","codeplot","idtiers","cd_nom","lb_nom","observateur_1","observateur_2","date"
"Argentière",2,32,"ARG_1620","c",128938,"Veronica officinalis","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","a",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","a",87299,"Calamagrostis villosa","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","a",87501,"Calluna vulgaris","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","a",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","a",136974,"Juniperus communis subsp. nana","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","a",106846,"Luzula nivea","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","a",107158,"Maianthemum bifolium","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","a",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","a",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","a",124205,"Solidago virgaurea","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","a",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","a",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",131388,"Anemone alpina subsp. millefoliata","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",83874,"Arnica montana","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",717731,"Atocion rupestre","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",87299,"Calamagrostis villosa","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",87501,"Calluna vulgaris","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",99929,"Gentiana purpurea","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",136974,"Juniperus communis subsp. nana","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",104528,"Knautia dipsacifolia","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",105074,"Laserpitium halleri","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",106846,"Luzula nivea","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",107158,"Maianthemum bifolium","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",113361,"Phyteuma betonicifolium","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",115470,"Potentilla erecta","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",124205,"Solidago virgaurea","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","b",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",999999,"aaa - En attente de détermination","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",80591,"Agrostis capillaris","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",131388,"Anemone alpina subsp. millefoliata","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",82914,"Anthoxanthum alpinum","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",87724,"Campanula scheuchzeri","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",98512,"Festuca rubra","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",99334,"Galeopsis tetrahit","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",100160,"Geranium sylvaticum","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",136974,"Juniperus communis subsp. nana","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",104528,"Knautia dipsacifolia","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",105074,"Laserpitium halleri","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",105768,"Leucanthemum adustum","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",107158,"Maianthemum bifolium","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",113361,"Phyteuma betonicifolium","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",114616,"Polygonatum verticillatum","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",115470,"Potentilla erecta","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",117222,"Ranunculus sartorianus","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",124205,"Solidago virgaurea","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",141317,"Sorbus aucuparia subsp. aucuparia","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",124329,"Sorbus mougeotii","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","c",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"Argentière",2,33,"ARG_1790","a",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","a",87501,"Calluna vulgaris","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","a",107158,"Maianthemum bifolium","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","a",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","a",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","a",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",87299,"Calamagrostis villosa","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",87501,"Calluna vulgaris","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",99929,"Gentiana purpurea","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",136974,"Juniperus communis subsp. nana","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",105074,"Laserpitium halleri","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",106846,"Luzula nivea","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",107158,"Maianthemum bifolium","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",115470,"Potentilla erecta","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",124205,"Solidago virgaurea","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","b",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","c",999999,"aaa - En attente de détermination","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","c",999999,"aaa - En attente de détermination","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","c",82596,"Anemone alpina","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","c",82914,"Anthoxanthum alpinum","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","c",717731,"Atocion rupestre","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","c",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","c",87299,"Calamagrostis villosa","Garraud","Pache","2020-07-23"
"Argentière",2,33,"ARG_1790","c",87501,"Calluna vulgaris","Garraud","Pache","2020-07-23"
